Title,ID,Meas,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS-30,SDS,DID,MASQ,d,cp,g,varg,Stat used,AMT,Positive,Neutral,Negative,Specific,Categoric
Ridout 2016,38,3,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,-0.929340341,0.984293194,-0.914743372,0.088367554,Mean,1,0,0,1,1,0
Ridout 2016,38,4,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,0.780236484,0.984293194,0.767981461,0.085897955,Mean,1,0,0,1,0,1
Ridout 2016,38,5,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,-1.602772622,0.984293194,-1.577598183,0.10488816,Mean,1,1,0,0,1,0
Ridout 2016,38,6,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,1.639783183,0.984293194,1.614027427,0.106050845,Mean,1,1,0,0,0,1
Ridout 2016,38,7,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,-1.325178313,0.984293194,-1.304363994,0.097013654,Mean,1,0,0,1,1,0
Ridout 2016,38,8,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,,,,,,,0.84,1,,,28.9,28.9,12.6,,,,,,1.49061352,0.984293194,1.467200742,0.10152678,Mean,1,0,0,1,0,1
Young 2016c,39,1,1,1,1,16,16,37.1,37.8,0.875,,1,,114,,,,,,,0,0,,19.8,,28.58208955,,,,,,,-1.768115436,0.974789916,-1.723541097,0.17141553,Mean,1,,,,1,0
Young 2016c,39,2,1,1,1,16,16,37.1,37.8,0.875,,1,,114,,,,,,,0,0,,19.8,,28.58208955,,,,,,,1.820777202,0.974789916,1.774875256,0.174221596,Mean,1,,,,0,1
Kuffel 2014,40,1,1,1,1,20,20,30.8,30.8,0.7,11.25,1,1,,,,,,,,,1,,,25.2,25.2,,,,,,,-0.220863052,0.98013245,-0.216475044,0.100585768,Mean,1,,,,1,0
Yao 2010,41,1,1,1,1,60,60,29.7,31.43,0.6,12.23,1,1,,,,,,,,,1,,24.63,32.7,32.7,,,,,,,-0.733539657,0.993630573,-0.72886743,0.035546866,Mean,1,0,0,1,1,0
Yao 2010,41,2,1,1,1,60,60,29.7,31.43,0.6,12.23,1,1,,,,,,,,,1,,24.63,32.7,32.7,,,,,,,-0.808813325,0.993630573,-0.803661647,0.036024467,Mean,1,1,0,0,1,0
Fleischer 2015,42,1,1,1,1,24,67,35.8,30.2,1,11.9,1,1,,,,,,,,0,0,,,,,,,,,,,-0.06508406,0.991549296,-0.064534054,0.056614922,Mean,1,,,,1,0
Semkovska 2012,43,1,1,1,1,30,19,46.2,43.6,0.53,14.93,1,0,112.6,,,,,,,,1,,29.5,,43.05970149,,,,,,,-0.731820609,0.983957219,-0.720080171,0.091255886,F ,0,,,,1,0
Schlosser 2010,44,1,1,1,1,16,16,34.88,33.31,0.5,10.75,1,0,,,,,,,,1,1,,,23.4,23.4,,,,,,,-1.23574144,0.974789916,-1.204588295,0.14767239,Mean,1,1,0,0,1,0
Schlosser 2010,44,2,1,1,1,16,16,34.88,33.31,0.5,10.75,1,0,,,,,,,,1,1,,,23.4,23.4,,,,,,,-0.360956735,0.974789916,-0.351856985,0.126934427,Mean,1,0,0,1,1,0
Schlosser 2010,44,3,1,1,1,16,16,34.88,33.31,0.5,10.75,1,0,,,,,,,,1,1,,,23.4,23.4,,,,,,,-0.656668467,0.974789916,-0.6401138,0.131402276,Mean,1,0,1,0,1,0
Birch 2007,45,1,1,1,1,17,17,71.5,73.9,0.765,10.4,1,1,96.3,,,,,,,0.88,1,,,,,,,22.1,,,,-0.860089587,0.976377953,-0.839772511,0.12801791,Mean,1,,,,1,0
Birch 2007,45,2,1,1,1,17,17,71.5,73.9,0.765,10.4,1,1,96.3,,,,,,,0.88,1,,,,,,,22.1,,,,0.493196962,0.976377953,0.48154664,0.121057164,Mean,1,,,,0,1
Sumner 2013,46,1,1,0,1,28,27,,,,,1,1,,,,,,,,,0,,,,,,,,,13.98,,0.374180173,0.985781991,0.368860075,0.073988211,Mean,0,,,,1,0
Sumner 2013,46,2,1,0,1,28,27,,,,,1,1,,,,,,,,,0,,,,,,,,,13.98,,0.161386642,0.985781991,0.159092045,0.072981416,Mean,1,,,,1,0
Sumner 2013,46,3,1,0,1,28,27,,,,,1,1,,,,,,,,,0,,,,,,,,,13.98,,0.423805751,0.985781991,0.417780077,0.074338052,Mean,1,,,,1,0
Anderson 2015,47,1,1,0,1,31,28,22.48,21.61,0.71,,1,1,,,,,,,,,0,,,,,,23.32,,,,,0,0.986784141,0,0.06797235,Mean,0,,,,1,0
Ramponi 2004,48,1,1,0,1,16,16,34.63,29.38,0.625,,1,,113.42,,,,,,,,0,,,14.63,14.63,,,,,,,-0.971976272,0.974789916,-0.947472668,0.139026632,Mean,1,1,0,0,1,0
Ramponi 2004,48,2,1,0,1,16,16,34.63,29.38,0.625,,1,,113.42,,,,,,,,0,,,14.63,14.63,,,,,,,-0.726115674,0.974789916,-0.707810237,0.132828052,Mean,1,0,0,1,1,0
Ramponi 2004,48,3,1,0,1,16,16,34.63,29.38,0.625,,1,,113.42,,,,,,,,0,,,14.63,14.63,,,,,,,-0.602239984,0.974789916,-0.587057464,0.130384945,Mean,1,0,1,0,1,0
Ramponi 2004,48,4,1,0,1,16,16,34.63,29.38,0.625,,1,,113.42,,,,,,,,0,,,14.63,14.63,,,,,,,0.419207288,0.974789916,0.408639037,0.127609154,Mean,1,,,,0,1
Haringsma 2010,49,1,1,1,0,63,60,64.92,64.47,0.762,,1,1,,0.857,,,,,,0.22,0,,,,,,15.07,,,,,0.212365822,0.99378882,0.21104678,0.032720742,Mean,1,1,0,0,1,0
Haringsma 2010,49,2,1,1,0,63,60,64.92,64.47,0.762,,1,1,,0.857,,,,,,0.22,0,,,,,,15.07,,,,,-0.029802467,0.99378882,-0.029617359,0.032543248,Mean,1,0,0,1,1,0
Anderson 2016: Experiment 1,50,1,1,0,1,30,31,20.87,20.29,0.867,,1,1,,,,,,,,,0,,,,,,25.2,,,,,-0.776270526,0.987234043,-0.766360689,0.070405404,Mean,0,0,1,0,1,0
Anderson 2016: Experiment 1,50,2,1,0,1,30,31,20.87,20.29,0.867,,1,1,,,,,,,,,0,,,,,,25.2,,,,,0.526822788,0.987234043,0.520097391,0.067808622,Mean,0,0,1,0,0,1
Anderson 2016: Experiment 2,51,1,1,0,1,27,26,20.7,20.12,0.704,,1,1,,,,,,,,,0,,,,,,26.56,,,,,-0.318460128,0.985221675,-0.313753821,0.076427269,Mean,0,1,0,0,1,0
Anderson 2016: Experiment 2,51,2,1,0,1,27,26,20.7,20.12,0.704,,1,1,,,,,,,,,0,,,,,,26.56,,,,,0.311635755,0.985221675,0.3070303,0.076387893,Mean,0,1,0,0,0,1
Anderson 2016: Experiment 2,51,3,1,0,1,27,26,20.7,20.12,0.704,,1,1,,,,,,,,,0,,,,,,26.56,,,,,-0.57608819,0.985221675,-0.567574572,0.078537641,Mean,0,0,0,1,1,0
