ID,Title,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS.30,SDS,DID,MASQ,d,cp,g,vi,sdi,Va,sda,Stat.used,AMT,Positive,Neutral,Negative,Specific,Categoric
129,Mitchell 2015,1,NA,0,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487556081,0.976377953,-0.476039008,0.144999213,0.380787622,0.117647059,0.34299717,Mean,0,NA,NA,NA,1,0
132,Jermann 2013: Current MDD,1,1,1,20,20,46.1,45.9,0.75,12.6,1,1,NA,NA,NA,NA,NA,NA,NA,0.95,1,25.8,NA,34.7,34.7,NA,NA,NA,NA,NA,NA,-0.665912092,0.98013245,-0.65268205,0.105324923,0.324538015,0.1,0.316227766,Mean,1,NA,NA,NA,1,0
134,Jermann 2013: Remitted MDD,1,1,0,36,20,46.8,45.9,0.694,15.4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4.6,NA,8.4,8.4,NA,NA,NA,NA,NA,NA,-0.110422175,0.986046512,-0.1088814,0.077883627,0.279076382,0.071428571,0.267261242,Mean,1,NA,NA,NA,1,0
135,Matsumoto 2020: Study 1,1,NA,1,25,25,20.96,21.4,0.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,19.06,19.06,NA,NA,NA,NA,NA,NA,-0.775065658,0.984293194,-0.8338278,0.087003007,0.294962721,0.08,0.282842712,Mean,1,1,0,0,1,0
139,Matsumoto 2020: Study 2 Remitted vs. HC,1,1,0,20,36,20.1,19.83,0.65,NA,1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,14.35,14.35,NA,NA,NA,NA,NA,NA,-0.659467917,0.986046512,-0.641293883,0.081450442,0.285395237,0.071428571,0.267261242,Mean,1,1,0,0,1,0
143,"Sommerfeld 1998: Study 1, current MDD",0,1,1,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,18.19,18.19,NA,NA,NA,NA,NA,NA,0.242383623,0.987654321,-0.02228006,0.065090535,0.255128468,0.063492063,0.251976315,Mean,1,1,0,0,1,0
146,"Sommerfeld 1998: Study 1, remitted MDD",0,1,0,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4.89,4.89,NA,NA,NA,NA,NA,NA,-0.164636986,0.987654321,-0.207914717,0.065177487,0.25529882,0.063492063,0.251976315,Mean,1,1,0,0,1,0
150,Latorre 2013,1,NA,1,33,33,72.09,72.52,0.576,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,21.97,NA,NA,NA,NA,-0.47646289,0.988235294,-0.470857444,0.062285657,0.249570946,0.060606061,0.246182982,Mean,1,NA,NA,NA,1,0
151,Riggs 2005,1,1,1,24,24,38.75,38.38,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.79,1,NA,NA,28.46,28.46,NA,NA,NA,NA,NA,NA,-1.369369369,0.983606557,-1.346920691,0.102231202,0.319736144,0.083333333,0.288675135,Mean,1,NA,NA,NA,1,0
152,Kim 2018,1,1,1,26,54,41.19,37.15,0.65,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,28.35,28.35,NA,NA,NA,NA,NA,NA,1.205890225,0.990353698,0.015086733,0.065671758,0.256265015,0.05,0.223606798,Mean,1,1,0,0,1,0
154,Rohrer 2006: Past Attempt Group,1,1,1,17,23,36.7,37.8,0.824,NA,1,NA,91.1,NA,NA,NA,NA,NA,NA,NA,1,NA,19.9,26.2,26.2,NA,NA,NA,NA,NA,NA,-1.346340275,0.98013245,-1.324885773,0.12424367,0.352482156,0.1,0.316227766,Mean,1,1,0,0,1,0
156,Rohrer 2006: No attempt group,1,1,1,23,23,42.4,37.8,0.783,NA,1,NA,92.2,NA,NA,NA,NA,NA,NA,NA,1,NA,26.1,31.7,31.7,NA,NA,NA,NA,NA,NA,-1.456714081,0.982857143,-1.461043788,0.110168561,0.331916496,0.086956522,0.294883912,Mean,1,1,0,0,1,0
158,Stephens 2013: Neutral and positive cues,1,NA,1,15,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,17.3,17.3,NA,NA,NA,NA,NA,NA,0,0.972972973,0,0.133333333,0.365148371,0.133333333,0.365148372,Mean,1,NA,NA,NA,1,0
159,Stephens 2013 Neutral and negative cues,1,NA,1,15,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,17.9,17.9,NA,NA,NA,NA,NA,NA,0.294563908,0.972972973,0.286602721,0.134702352,0.36701819,0.133333333,0.365148372,Mean,1,NA,NA,NA,1,0
160,Falco 2015: Experiment 1,1,NA,1,13,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.779294699,0.98013245,-0.873196833,0.132968541,0.364648517,0.1,0.316227766,Mean,1,NA,NA,NA,1,0
162,Falco 2015: Experiment 2,1,NA,1,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031341994,0.98013245,0.063259046,0.106729924,0.32669546,0.1,0.316227766,Mean,1,NA,NA,NA,1,0
164,Falco 2015: Experiment 3,1,NA,1,20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,16.7,16.7,NA,NA,NA,NA,NA,NA,-0.869394456,0.992327366,-0.86272391,0.066221463,0.257335312,0.04,0.2,Mean,1,NA,NA,NA,1,0
165,Sagfors 2017,0,1,1,34,35,34.29,31.66,0.5,NA,1,1,NA,NA,NA,17.29,NA,204,204,0.53,1,NA,NA,29,29,NA,NA,NA,NA,NA,NA,-0.76601772,0.988764045,-0.608828534,0.0608292,0.246635763,0.057971014,0.240771706,Mean,1,1,0,0,1,0
167,Akande 2004,0,1,1,15,15,48.33,34.4,0.6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,28.73,28.73,NA,NA,NA,NA,NA,NA,-1.462877343,0.972972973,-1.423340118,0.167098285,0.408776571,0.133333333,0.365148372,Mean,1,NA,NA,NA,1,0
168,Burns 2014,0,NA,1,14,15,74.29,75.69,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10.71,NA,NA,NA,NA,NA,-3.071769429,0.971962617,-2.985645052,0.29178621,0.540172389,0.137931034,0.371390676,Mean,1,NA,NA,NA,1,0
169,McMahan 2001,0,NA,0.545,11,47,22.36,21.32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,17.18,17.18,NA,NA,NA,NA,NA,NA,-0.435297205,0.986547085,-0.46162168,0.114031637,0.337685707,0.068965517,0.262612866,Mean,1,1,0,0,1,0
171,Kao 2007: Study 1,0,NA,1,30,30,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.854943496,0.987012987,-0.843840334,0.072600554,0.2694449,0.066666667,0.25819889,Mean,1,NA,NA,NA,1,0
173,Kao 2007: Study 2,0,1,1,30,30,39.47,39.33,NA,10.97,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,30.57,30.57,NA,NA,NA,NA,NA,NA,-4.245914281,0.987012987,-4.190772537,0.213021454,0.461542473,0.066666667,0.25819889,Mean,1,NA,NA,NA,1,0
175,Begovic 2020,0,1,1,21,31,21.29,21.94,0.905,14.76,1,1,NA,NA,NA,NA,NA,NA,NA,0.333,0,NA,NA,32.65,32.65,NA,NA,NA,NA,NA,NA,0.128456099,0.984924623,0.41771506,0.081842787,0.286081783,0.076923077,0.277350098,Mean,1,1,0,0,1,0
