region1,region2,strength
L_parahippocampal,R_parahippocampal,3.4445
L_parahippocampal,R_posteriorcingulate,1.4973
L_paracentral,L_postcentral,9.6205
L_paracentral,L_posteriorcingulate,9.8484
L_paracentral,L_precentral,9.9107
L_paracentral,L_precuneus,8.7731
L_paracentral,L_superiorfrontal,9.8111
L_paracentral,L_superiorparietal,7.3735
L_paracentral,R_isthmuscingulate,2.7912
L_paracentral,R_paracentral,10.7310
L_paracentral,R_postcentral,8.5248
L_paracentral,R_posteriorcingulate,8.1755
L_paracentral,R_precentral,9.7396
L_paracentral,R_precuneus,7.3260
L_paracentral,R_superiorfrontal,8.7875
L_paracentral,R_superiorparietal,6.6476
L_parsopercularis,L_parsorbitalis,6.5424
L_parsopercularis,L_parstriangularis,9.8423
L_parsopercularis,L_precentral,10.0253
L_parsopercularis,L_rostralmiddlefrontal,9.8447
L_parsopercularis,L_superiorfrontal,10.1265
L_parsopercularis,L_superiorparietal,5.4922
L_parsopercularis,L_superiortemporal,7.9724
L_parsopercularis,L_supramarginal,7.8867
L_parsopercularis,L_insula,10.0278
L_parsopercularis,R_caudalanteriorcingulate,3.2337
L_parsopercularis,R_caudalmiddlefrontal,6.7164
L_parsopercularis,R_superiorfrontal,6.9890
L_parsopercularis,R_insula,1.7898
L_parsorbitalis,L_parstriangularis,9.4403
L_parsorbitalis,L_pericalcarine,3.4111
L_parsorbitalis,L_precentral,3.9241
L_parsorbitalis,L_rostralanteriorcingulate,5.1094
L_parsorbitalis,L_rostralmiddlefrontal,9.1804
L_parsorbitalis,L_superiorfrontal,5.2062
L_parsorbitalis,L_superiortemporal,7.1371
L_parsorbitalis,L_supramarginal,5.0625
L_parsorbitalis,L_insula,7.5640
L_parsorbitalis,R_frontalpole,5.0136
L_parstriangularis,L_precentral,5.5832
L_parstriangularis,L_rostralanteriorcingulate,3.4255
L_parstriangularis,L_rostralmiddlefrontal,10.0258
L_parstriangularis,L_superiorfrontal,6.1440
L_parstriangularis,L_superiortemporal,7.9668
L_parstriangularis,L_supramarginal,6.0587
L_parstriangularis,L_temporalpole,3.4489
L_parstriangularis,L_insula,9.8042
L_parstriangularis,R_rostralmiddlefrontal,6.5523
L_parstriangularis,R_superiorfrontal,6.1468
L_pericalcarine,L_precuneus,8.5299
L_pericalcarine,L_superiorparietal,8.9716
L_pericalcarine,L_superiortemporal,5.2651
L_pericalcarine,L_insula,6.3787
L_pericalcarine,R_cuneus,7.0206
L_pericalcarine,R_isthmuscingulate,5.1806
L_pericalcarine,R_lingual,6.4803
L_pericalcarine,R_pericalcarine,6.7927
L_pericalcarine,R_precuneus,5.0106
L_pericalcarine,R_superiorparietal,7.3867
L_postcentral,L_precentral,11.6221
L_postcentral,L_precuneus,5.7374
L_postcentral,L_superiorparietal,10.2066
L_postcentral,L_superiortemporal,6.2416
L_postcentral,L_supramarginal,10.9873
L_postcentral,L_transversetemporal,5.5034
L_postcentral,L_insula,10.3544
L_postcentral,R_paracentral,8.6090
L_postcentral,R_postcentral,9.5681
L_postcentral,R_precentral,7.5236
L_postcentral,R_precuneus,7.3443
L_postcentral,R_superiorparietal,7.8251
L_postcentral,R_superiortemporal,5.8637
L_postcentral,R_supramarginal,7.7279
L_posteriorcingulate,L_precuneus,9.8477
L_posteriorcingulate,L_rostralanteriorcingulate,7.3854
L_posteriorcingulate,L_superiorfrontal,9.7558
L_posteriorcingulate,L_superiorparietal,4.9604
L_posteriorcingulate,L_insula,4.9671
L_posteriorcingulate,R_caudalanteriorcingulate,5.9932
L_posteriorcingulate,R_isthmuscingulate,6.1031
L_posteriorcingulate,R_medialorbitofrontal,3.6171
L_posteriorcingulate,R_paracentral,8.0009
L_posteriorcingulate,R_posteriorcingulate,8.2831
L_posteriorcingulate,R_precuneus,6.4454
L_posteriorcingulate,R_superiorfrontal,7.7524
L_posteriorcingulate,R_superiorparietal,4.6040
L_precentral,L_precuneus,4.0054
L_precentral,L_rostralmiddlefrontal,9.0925
L_precentral,L_superiorfrontal,10.7503
L_precentral,L_superiorparietal,8.4560
L_precentral,L_superiortemporal,5.9119
L_precentral,L_supramarginal,9.0557
L_precentral,L_insula,10.1373
L_precentral,R_caudalmiddlefrontal,7.7998
L_precentral,R_paracentral,9.5178
L_precentral,R_postcentral,7.4899
L_precentral,R_posteriorcingulate,5.0210
L_precentral,R_precentral,10.2772
